店名,地址,電話,網站,評分,評分數量,營業時間,寄宿可能性,城市,區域,類型
Wang's Beauty 旺城寵物精品美容,10491台灣台北市中山区中山北路二段77巷21-1號1樓,02 2567 8195,http://www.k9wang.com/,4.5,139,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,5,台北市,大同區,美容
雪堡愛犬美容中心,103台灣台北市大同區民族西路216 號,02 2585 8733,http://www.snowcastle.com.tw/,4.9,33,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 休息 | 星期日: 休息,4,台北市,大同區,美容
台灣寵物世界,103台灣台北市大同區寧夏路1號,02 2556 3320,,3.6,65,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,3,台北市,大同區,美容
哈娜寵物澡堂,103台灣台北市大同區酒泉街50-6號,02 2595 8125,,4.9,47,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,2,台北市,大同區,美容
爪伙伴寵物澡堂,103008台灣台北市大同區重慶北路二段86號,02 2556 7366,http://www.facebook.com/high5pawpetgrooming,4.7,63,星期一: 11:30 – 20:00 | 星期二: 11:30 – 20:00 | 星期三: 休息 | 星期四: 11:30 – 20:00 | 星期五: 11:30 – 20:00 | 星期六: 11:30 – 20:00 | 星期日: 11:30 – 20:00,2,台北市,大同區,美容
樂芙寵物,103台灣台北市大同區承德路三段102號,02 2593 0593,https://www.facebook.com/lovepetspa/?modal=admin_todo_tour,4.7,30,星期一: 11:30 – 20:00 | 星期二: 休息 | 星期三: 11:30 – 20:00 | 星期四: 11:30 – 20:00 | 星期五: 11:30 – 20:00 | 星期六: 11:30 – 20:00 | 星期日: 11:30 – 20:00,2,台北市,大同區,美容
東森寵物 大同民族西店,103台灣台北市大同區民族西路224-226號,02 2585 8887,http://www.oscar-pet.com.tw/,4.6,30,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,2,台北市,大同區,美容
犬媄寵物之家,104台灣台北市中山區林森北路259巷9號之31,0928 561 871,https://www.facebook.com/%E7%8A%AC%E5%AA%84%E7%AB%89%E7%89%A9%E4%B9%8B%E5%AE%B6-490034964506403/,4.9,29,星期一: 11:00 – 01:00 | 星期二: 11:00 – 01:00 | 星期三: 11:00 – 01:00 | 星期四: 11:00 – 01:00 | 星期五: 11:00 – 01:00 | 星期六: 休息 | 星期日: 休息,2,台北市,大同區,美容
奧斯卡寵物-台北大同店,103台灣台北市大同區民族西路224-226號,02 2585 8887,,4.1,336,,2,台北市,大同區,美容
M.V PET STUDIO,104台灣台北市中山區林森北路487號1樓206室,02 2563 2543,https://www.facebook.com/MV-PET-Studio%E5%AF%B5%E7%89%A9%E7%BE%8E%E5%AE%B9-647100209098546/,5,25,星期一: 休息 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,2,台北市,大同區,美容
現代寵物店,103台灣台北市大同區重慶北路三段187號,02 2593 0302,https://www.facebook.com/No187/?eid=ARC92nYEsFVftzHTO1zpagb9nM42YeWhv1hNUR4Zin3M65DAJ5rWBdB8aeR1bsX7BGUvdlrObyDMP5e0,4.5,62,星期一: 10:00 – 21:30 | 星期二: 10:00 – 21:30 | 星期三: 10:00 – 21:30 | 星期四: 10:00 – 21:30 | 星期五: 10:00 – 21:30 | 星期六: 10:00 – 21:30 | 星期日: 10:00 – 21:30,2,台北市,大同區,美容
金吉利寵物精品-延平店,103台灣台北市大同區延平北路二段223號1樓,02 2550 5554,,4.9,83,星期一: 12:00 – 22:00 | 星期二: 12:00 – 22:00 | 星期三: 12:00 – 22:00 | 星期四: 12:00 – 22:00 | 星期五: 12:00 – 22:00 | 星期六: 12:00 – 22:00 | 星期日: 12:00 – 22:00,2,台北市,大同區,美容
Q吉寵物,111台灣台北市士林區延平北路五段28號,02 2811 6266,,4.5,20,星期一: 休息 | 星期二: 11:00 – 18:00 | 星期三: 11:00 – 18:00 | 星期四: 休息 | 星期五: 11:00 – 18:00 | 星期六: 11:00 – 18:00 | 星期日: 11:00 – 18:00,2,台北市,大同區,美容
東森寵物 大同承德店,103台灣台北市大同區承德路三段227號,02 2599 6763,https://www.etipets.com/,4.7,693,星期一: 10:00 – 22:00 | 星期二: 10:00 – 22:00 | 星期三: 10:00 – 22:00 | 星期四: 10:00 – 22:00 | 星期五: 10:00 – 22:00 | 星期六: 10:00 – 22:00 | 星期日: 10:00 – 22:00,2,台北市,大同區,美容
喵汪美安宿-沐沐館 國寶寵物,10491台灣台北市中山區松江路382號,02 2585 1158,https://ezpretty.cc/zdQv9,4.7,97,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,2,台北市,大同區,美容
麥麥寶貝寵物時尚工作坊,104台灣台北市中山區建國北路三段72號,02 2509 2729,,4.9,37,星期一: 休息 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,2,台北市,大同區,美容
貓狗同萌寵物沙龍,103台灣台北市大同區環河北路二段43號1樓,0926 438 287,,1,1,星期一: 11:00 – 19:30 | 星期二: 11:00 – 19:30 | 星期三: 休息 | 星期四: 11:00 – 19:30 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 休息,5,台北市,大同區,美容
Chu啾寵物精品沙龍,104台灣台北市中山區明水路549號1樓,02 2532 6158,,5,61,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中山區,美容
Shamu Pet Spa享沐溡光寵物美容．皮毛養護調理,104台灣台北市中山區明水路672巷42號1樓,02 8501 2212,https://www.facebook.com/shamu2022,4.7,76,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中山區,美容
星沐精緻寵物美容-住宿安親|一對一|純手吹無烘箱|皮毛調理SPA|預約|台北松山區|松山機場,105台灣台北市松山區民權東路三段156號,02 2712 7709,https://www.facebook.com/profile.php?id=100089192907262&mibextid=LQQJ4d,5,71,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,中山區,美容
喵汪美安宿-吉林休閒館 犬貓寵物美容 | 安親住宿 | 溫水舒緩泳池 國寶寵物,10491台灣台北市中山區吉林路178號,02 2531 9089,,4.9,94,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中山區,美容
好日子寵物美容-寵物水中跑步機,10491台灣台北市中山區北安路458巷39號一樓,0926 026 347,https://www.facebook.com/profile.php?id=100083028176299,4.7,13,星期一: 10:30 – 19:30 | 星期二: 休息 | 星期三: 10:30 – 19:30 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 10:30 – 19:30,5,台北市,中山區,美容
Hello寵物美容,105台灣台北市松山區民權東路三段121號,02 2547 1180,https://www.facebook.com/hello20091130/,4.8,27,星期一: 11:30 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 11:30 – 19:00 | 星期五: 11:30 – 19:00 | 星期六: 11:30 – 19:00 | 星期日: 11:30 – 19:00,5,台北市,中山區,美容
樂沐寵物沙龍,114台灣台北市內湖區文德路22巷9弄48-1號,02 2656 2378,https://lin.ee/lC7kQDe,4.8,139,星期一: 休息 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中山區,美容
3天2夜寵物旅館、美容Spa,104台灣台北市中山區樂群三路73號2樓,02 8501 5649,,4.4,45,星期一: 08:00 – 19:00 | 星期二: 08:00 – 19:00 | 星期三: 08:00 – 19:00 | 星期四: 08:00 – 19:00 | 星期五: 08:00 – 19:00 | 星期六: 08:00 – 19:00 | 星期日: 08:00 – 19:00,5,台北市,中山區,美容
快樂屋寵物美容店,10491台灣台北市中山區新生北路二段137巷31號1樓,02 2536 8686,,3.7,3,,5,台北市,中山區,美容
Casa Pet Salon,111台灣台北市士林區中山北路六段288之1號,02 2838 5885,,5,20,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 休息 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,中山區,美容
賓go賓go寵物沙龍館,114台灣台北市內湖區內湖路一段91巷24弄12號,02 2627 6885,https://line.me/ti/p/bWeDX8GD8X,5,74,星期一: 10:30 – 19:00 | 星期二: 休息 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,台北市,中山區,美容
呼哇呼哇寵物美容工作室@fuwa2pet,111台灣台北市士林區忠誠路二段130巷3號1樓,,https://lin.ee/2cVxfUS,5,129,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 休息 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 休息,5,台北市,中山區,美容
汪吉拉寵物美容,114台灣台北市內湖區內湖路一段205號,02 2627 6966,https://www.facebook.com/267065560059634/,4.6,43,星期一: 11:00 – 19:30 | 星期二: 休息 | 星期三: 11:00 – 19:30 | 星期四: 11:00 – 19:30 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 11:00 – 19:30,5,台北市,中山區,美容
3天2夜寵物美容皮毛護理,104台灣台北市中山區樂群三路75號2樓,02 8501 5649,https://www.facebook.com/pg/3d2npets/community/,,,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中山區,美容
中華民國愛犬美容協會,104台灣台北市中山區民生東路二段90巷2號號 1 樓,02 2536 1119,,5,1,,4,台北市,中山區,美容
高屋寵物 GAOGAOPET,104051台灣台北市中山區敬業一路128巷8號1樓,02 8501 5599,,4.9,28,星期一: 09:30 – 18:30 | 星期二: 09:30 – 18:30 | 星期三: 09:30 – 18:30 | 星期四: 09:30 – 18:30 | 星期五: 09:30 – 18:30 | 星期六: 09:30 – 18:30 | 星期日: 休息,2,台北市,中山區,美容
E&T寵物SPA,10491台灣台北市中山區樂群二路293號,02 8501 2819,https://www.facebook.com/ET-Dog-spa-1665805920327055/,4.7,29,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,2,台北市,中山區,美容
17號寶貝狗澡堂,10491台灣台北市中山區五常街65號,02 2502 2751,http://www.facebook.com/17babydogpetshop,4.7,33,星期一: 11:30 – 20:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 11:30 – 20:00 | 星期五: 11:30 – 20:00 | 星期六: 11:30 – 20:00 | 星期日: 11:30 – 20:00,2,台北市,中山區,美容
就甘心Ponpon寵物旅館,10491台灣台北市中山區新生北路二段60巷16號4樓,02 2568 2751,https://www.facebook.com/Ponpon.Pet.hotel/,5,380,星期一: 11:00 – 19:00 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 11:00 – 19:00,2,台北市,中山區,美容
宅貓旅館🥰中山館,10469台灣台北市中山區民生東路二段3號,02 2521 8488,http://www.cat-hotel.com.tw/,5,271,星期一: 10:30 – 20:00 | 星期二: 10:30 – 20:00 | 星期三: 10:30 – 20:00 | 星期四: 10:30 – 20:00 | 星期五: 10:30 – 20:00 | 星期六: 10:30 – 20:00 | 星期日: 10:30 – 20:00,2,台北市,中山區,美容
東森寵物 大直北安店,104台灣台北市中山區北安路554巷31號1樓,02 2533 5086,https://www.etipets.com/,5,478,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,2,台北市,中山區,美容
華眉眉寵物美研社,10491台灣台北市中山區民權東路二段71巷25號,0935 036 666,,3.8,5,星期一: 08:30 – 20:00 | 星期二: 08:30 – 20:00 | 星期三: 08:30 – 20:00 | 星期四: 08:30 – 20:00 | 星期五: 08:30 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 休息,2,台北市,中山區,美容
永遠犬貓,10491台灣台北市中山區北安路644號,02 8509 1369,,3.6,18,星期一: 10:00 – 21:00 | 星期二: 休息 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,2,台北市,中山區,美容
毛寵沐 Mao Pet Salon,110台灣台北市信義區松山路333號1F,0903 030 372,https://mao-pet-salon.com/,5,51,星期一: 休息 | 星期二: 10:30 – 19:30 | 星期三: 10:30 – 19:30 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 休息,5,台北市,中山區,美容
巧菲woo時尚寵物沙龍,111台灣台北市士林區福國路63號1樓,02 2833 7520,https://www.facebook.com/jfpetssalon/,4.8,48,星期一: 09:30 – 20:00 | 星期二: 09:30 – 20:00 | 星期三: 09:30 – 20:00 | 星期四: 休息 | 星期五: 09:30 – 20:00 | 星期六: 09:30 – 20:00 | 星期日: 09:30 – 20:00,5,台北市,中山區,美容
Peace Pet Salon 寵物美容.安親.住宿,111台灣台北市士林區天母東路50巷20-2號,02 2876 3325,https://www.instagram.com/peacepetsalon/,4.9,145,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台北市,中山區,美容
甜心寵物美容沙龍,112台灣台北市北投區致遠一路一段108號一樓,02 2820 6676,,5,203,星期一: 10:00 – 18:30 | 星期二: 10:00 – 18:30 | 星期三: 休息 | 星期四: 10:00 – 18:30 | 星期五: 10:00 – 18:30 | 星期六: 10:00 – 18:30 | 星期日: 休息,5,台北市,中山區,美容
I'm not pet 我不是寵物【台北寵物美容 台北寵物SPA 信義區寵物美容 信義區寵物SPA 信義區貓咪職人美容 信義區貓美容】,110台灣台北市信義區忠孝東路五段71巷11弄1號,02 2756 8805,https://www.facebook.com/imnotpet2021/,4.7,109,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 休息 | 星期四: 休息 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,中山區,美容
狗仔先生寵物沙龍,110台灣台北市信義區福德街113號,0916 211 262,https://www.facebook.com/Alan730411,4.9,20,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 休息 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,中山區,美容
大葉白佳代寵物美容沙龍,111台灣台北市士林區忠誠路二段55號1樓,02 8501 2827,https://www.facebook.com/dayehpet/,4.9,76,,5,台北市,中山區,美容
Afpet寵物洗浴概念館永春店線上預約@afpet001 - 台北松山後山埤(寵物美容 澡堂 剪毛 寵物洗澡 日式草本泥 寵物皮膚調理),110台灣台北市信義區中坡北路15巷5號,0978 282 598,https://www.facebook.com/afpetsalonno1,5,26,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,中山區,美容
可狗美,110台灣台北市信義區仁愛路四段452巷12號,02 8780 0685,https://www.facebook.com/codogmei,5,42,星期一: 休息 | 星期二: 09:00 – 19:00 | 星期三: 09:00 – 19:00 | 星期四: 09:00 – 19:00 | 星期五: 09:00 – 19:00 | 星期六: 09:00 – 19:00 | 星期日: 09:00 – 19:00,2,台北市,中山區,美容
CHIEN BON BON 寵物洗澎澎,105台灣台北市松山區健康路260號,02 2760 7766,https://www.facebook.com/chienbonbon2.0,4.7,154,星期一: 10:30 – 19:00 | 星期二: 10:30 – 19:00 | 星期三: 10:30 – 19:00 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,2,台北市,中山區,美容
你好小狗 貓狗寵物美學 到府美容 IG預約 專業寵物美容,105台灣台北市松山區三民路68巷8號,0983 433 052,https://www.instagram.com/pet88880?igsh=OG16c3EzdjB5cjdq&utm_source=qr,5,1,星期一: 24 小時營業 | 星期二: 24 小時營業 | 星期三: 24 小時營業 | 星期四: 24 小時營業 | 星期五: 24 小時營業 | 星期六: 24 小時營業 | 星期日: 24 小時營業,5,台北市,松山區,美容
夢工廠寵物美容學院（附設寵物美容部）,105台灣台北市松山區塔悠路36號,02 2753 0253,https://www.facebook.com/share/M1bV1Pyk48Ghcn5q/?mibextid=LQQJ4d,4.9,68,星期一: 休息 | 星期二: 10:00 – 18:00 | 星期三: 10:00 – 18:00 | 星期四: 10:00 – 18:00 | 星期五: 10:00 – 18:00 | 星期六: 10:00 – 18:00 | 星期日: 10:00 – 18:00,5,台北市,松山區,美容
HIGH PETS CLUB 真善美雅舍《推薦寵物美容》松山區寵物住宿安親寄宿 寵物造型美容 呂惠真寵物美容教學 寵物買賣 寵物旅館,105台灣台北市松山區八德路四段620號,02 2746 8558,https://www.highpets.club/,5,34,星期一: 10:00 – 21:00 | 星期二: 10:00 – 21:00 | 星期三: 10:00 – 21:00 | 星期四: 10:00 – 21:00 | 星期五: 10:00 – 21:00 | 星期六: 10:00 – 21:00 | 星期日: 10:00 – 21:00,5,台北市,松山區,美容
愛寶寵物美容,105台灣台北市松山區八德路四段845號,02 2528 6578,https://www.klook.com/zh-TW/activity/129164,4.9,83,星期一: 11:00 – 19:30 | 星期二: 11:00 – 19:30 | 星期三: 11:00 – 19:30 | 星期四: 11:00 – 19:30 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 休息,5,台北市,松山區,美容
小古叔叔寵物美容 Uncle Gu,105台灣台北市松山區延壽街109號,02 2761 0699,https://lin.ee/FOhMx9j,4.9,39,星期一: 休息 | 星期二: 11:00 – 19:00 | 星期三: 11:00 – 19:00 | 星期四: 11:00 – 19:00 | 星期五: 11:00 – 19:00 | 星期六: 11:00 – 19:00 | 星期日: 休息,5,台北市,松山區,美容
【小捲尾寵物精品美容＆SPA 】民生店,10586台灣台北市松山區健康路239號,02 2742 2526,https://j-tails.com/,4.6,134,星期一: 10:30 – 19:30 | 星期二: 10:30 – 19:30 | 星期三: 10:30 – 19:30 | 星期四: 10:30 – 19:30 | 星期五: 10:30 – 19:30 | 星期六: 10:30 – 19:30 | 星期日: 10:30 – 19:30,5,台北市,松山區,美容
狗使寵物美容,105台灣台北市松山區光復北路60巷13號,02 2577 8180,,4.8,62,星期一: 11:00 – 20:00 | 星期二: 11:00 – 20:00 | 星期三: 休息 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,5,台北市,松山區,美容
呂惠真寵物美容學苑/靈犬寶貝站,105台灣台北市松山區吉祥路14號,02 2748 6166,https://www.highpets.club/,4.1,62,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 20:00,5,台北市,松山區,美容
金郁寵物美容,105台灣台北市松山區新東街11巷15號,02 2760 7663,https://www.facebook.com/profile.php?id=100064188995277&mibextid=LQQJ4d,4.8,19,星期一: 10:30 – 18:00 | 星期二: 10:30 – 18:00 | 星期三: 10:30 – 18:00 | 星期四: 10:30 – 18:00 | 星期五: 10:30 – 18:00 | 星期六: 10:30 – 18:00 | 星期日: 休息,5,台北市,松山區,美容
寶寶寵物美容工作室,105台灣台北市松山區民生東路五段192號之五,02 2746 0886,https://www.facebook.com/profile.php?id=100054583294365&mibextid=LQQJ4d,4.8,35,星期一: 12:00 – 19:00 | 星期二: 12:00 – 19:00 | 星期三: 12:00 – 19:00 | 星期四: 12:00 – 19:00 | 星期五: 12:00 – 19:00 | 星期六: 12:00 – 19:00 | 星期日: 休息,5,台北市,松山區,美容
金狗錐狗狗寵物旅館（預約制）小型犬安親住宿、狗狗美容,105台灣台北市松山區南京東路五段163-4號,02 2749 4873,https://www.facebook.com/105885414560021/posts/130438382104724/?extid=ZJOZ242l9TrCRuqG&d=n,5,58,星期一: 09:00 – 21:00 | 星期二: 09:00 – 21:00 | 星期三: 09:00 – 21:00 | 星期四: 09:00 – 21:00 | 星期五: 09:00 – 21:00 | 星期六: 09:00 – 21:00 | 星期日: 09:00 – 21:00,5,台北市,松山區,美容
麥克諾尼寵物美容,105台灣台北市松山區敦化北路222巷20號1樓,02 2712 9404,,5,10,星期一: 09:00 – 18:00 | 星期二: 09:00 – 18:00 | 星期三: 休息 | 星期四: 09:00 – 18:00 | 星期五: 09:00 – 18:00 | 星期六: 09:00 – 18:00 | 星期日: 休息,5,台北市,松山區,美容
翻肚肚澡堂（寵物美容／住宿／安親）,105台灣台北市松山區民生東路五段202-1號,02 2765 8131,https://www.facebook.com/profile.php?id=61558756547505,5,12,星期一: 10:00 – 20:00 | 星期二: 10:00 – 20:00 | 星期三: 10:00 – 20:00 | 星期四: 10:00 – 20:00 | 星期五: 10:00 – 20:00 | 星期六: 10:00 – 20:00 | 星期日: 10:00 – 19:00,5,台北市,松山區,美容
川田犬家族-信義區寵物美容 信義區寵物沙龍 信義區洗狗 永春寵物美容 永春寵物沙龍 永春洗狗,110台灣台北市信義區松山路342巷9號1樓,02 2766 0118,https://kawadapetsalon.weebly.com/,4.9,54,星期一: 休息 | 星期二: 11:00 – 19:30 | 星期三: 11:00 – 19:30 | 星期四: 11:00 – 19:30 | 星期五: 11:00 – 19:30 | 星期六: 11:00 – 19:30 | 星期日: 休息,5,台北市,松山區,美容
寶麗寵物美容POLLY Pet Grooming,11068台灣台北市信義區松隆路320-1號,02 2763 6262,https://forms.gle/4WA3KRVSmgs4QQpZ8,5,29,,5,台北市,松山區,美容
吹毛求痴洗澡吧|寵物美容,110台灣台北市信義區松山路315-1號,02 2765 1399,https://m.facebook.com/lovedog212/,4.9,102,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 休息,5,台北市,松山區,美容
寵兒寵物用品美容,"315之4號, 松山路信義區台北市台灣 11016",02 2763 9413,https://www.facebook.com/petplace1314/,4.3,51,星期一: 10:30 – 22:00 | 星期二: 10:30 – 22:00 | 星期三: 10:30 – 22:00 | 星期四: 10:30 – 22:00 | 星期五: 10:30 – 22:00 | 星期六: 10:30 – 22:00 | 星期日: 10:30 – 22:00,5,台北市,松山區,美容
柒比寵物美容,110台灣台北市信義區林口街76號,,https://www.instagram.com/chippy.pet/,5,42,星期一: 休息 | 星期二: 休息 | 星期三: 10:00 – 19:00 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,松山區,美容
搖擺狗寵物美容住宿,110台灣台北市信義區光復南路417之4號,02 2345 3383,,5,15,星期一: 11:00 – 18:30 | 星期二: 休息 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 11:00 – 20:00,5,台北市,松山區,美容
狗窩窩愛犬旅社(寵物旅館/狗狗美容/狗狗住宿/寵物安親/狗狗洗澡),105台灣台北市松山区民生东路五段137巷2-5號1樓,02 2766 6185,https://www.facebook.com/WoofinnDogHotel/,4.7,75,星期一: 08:00 – 21:00 | 星期二: 08:00 – 21:00 | 星期三: 08:00 – 21:00 | 星期四: 08:00 – 21:00 | 星期五: 08:00 – 21:00 | 星期六: 08:00 – 21:00 | 星期日: 08:00 – 21:00,5,台北市,松山區,美容
狗點子寵物美容屋,110台灣台北市信義區永吉路120巷81弄2號,02 2753 3080,,4.8,33,星期一: 休息 | 星期二: 11:00 – 20:00 | 星期三: 11:00 – 20:00 | 星期四: 11:00 – 20:00 | 星期五: 11:00 – 20:00 | 星期六: 11:00 – 20:00 | 星期日: 休息,5,台北市,松山區,美容
貓公爵澡堂~純貓兇貓快速剃毛洗澡，可全程留現場美容,110台灣台北市信義區松山路541巷14弄1號,0956 366 173,https://www.facebook.com/Line.lD.catduke259?mibextid=ZbWKwL,4.5,116,星期一: 11:00 – 22:00 | 星期二: 11:00 – 22:00 | 星期三: 11:00 – 22:00 | 星期四: 11:00 – 22:00 | 星期五: 11:00 – 22:00 | 星期六: 11:00 – 22:00 | 星期日: 11:00 – 22:00,5,台北市,松山區,美容
尼娜寵物美容,110台灣台北市信義區永吉路446-3號,02 2756 7300,https://www.facebook.com/100088079501500/posts/pfbid02Vvkac397AH5GMiADwQRC4aJuQaEByzMQzfQYwjiCndgAtWuCtaFf9v8ZBWq3NkKBl/?mibextid=Nif5oz,5,11,星期一: 10:00 – 19:00 | 星期二: 10:00 – 19:00 | 星期三: 休息 | 星期四: 10:00 – 19:00 | 星期五: 10:00 – 19:00 | 星期六: 10:00 – 19:00 | 星期日: 10:00 – 19:00,5,台北市,松山區,美容
Together。一起 毛寶貝寵物美容生活café(犬),110台灣台北市信義區永吉路30巷1號1樓,02 2765 6849,https://www.facebook.com/2Together2cafe,5,44,星期一: 10:30 – 19:00 | 星期二: 休息 | 星期三: 休息 | 星期四: 10:30 – 19:00 | 星期五: 10:30 – 19:00 | 星期六: 10:30 – 19:00 | 星期日: 10:30 – 19:00,5,台北市,松山區,美容
